,text,labels
732,    nah 2013 was trash     2014 was so trash dawg,non_offensive
733,jk i am going to be a pussy about it i do not want the love of my life seein me all scared and shit,offensive
734,throw that flag bitch you aint the real bush,offensive
735,i think i need to watch dawn of the planet of the apes now,non_offensive
736,      the stupidest bitch brb crying he called me stupid,offensive
737,  bitches crazy  ,offensive
738,dont acknowledge these hoes,offensive
739,but i do know one thing though bitches they come they go saturday through sunday monday monday through sunday yooooo  ,offensive
740,    i was disgusted betrayed hurt amp my pussy drier than a niggas skin in the winter time,offensive
741,that ass so retarted it belongs on a short yellow bus ,offensive
742,i told that bitch idgaf about a benz bitch,offensive
743,  for the record   but do not care who is unless i gotta see it same with every sexuality even birds dogs what not,non_offensive
744,  would help for some others cannot handle uppers and cripples them plus if moderation is not taken into consideration it will be bad,non_offensive
745, fucking on the first night do not make you a hoe   ,offensive
746,i only bring up lat name to the hoes i know with kids because they need to know,offensive
747,you always buy me colored goldfish when my stash is low and you are a constant inspiration to me and  httptconcpd8usljf,non_offensive
748,  good job tonight you need to eat some crackers soyou you will stop throwing up ,non_offensive
749,    side hoes always winning,offensive
750,the big lips was in the ad bitch,offensive
751,  no i bitch and moan not tears,offensive
752,everyday i wake up i got a different bitch,offensive
753,not my fault yo bitch wanna flip me,offensive
754,how long after the redskins change their nsme will all memorabilia wredskind name be deemef racist and therefore illegal any thoughts,non_offensive
755,i ordered 8 chocolate chip cookies amp this bitch gave me fries smh  i could not even take the shit back because i was gon be late for work,offensive
756,  you gonna be 33 years old with no bitches watchlol,offensive
757,  i survived swine flu bird flu west nile and the bloomberg administration i will be fine  abortion survival cant 4get that,non_offensive
758,just unfollowed another crazy bitch whos next lol,offensive
759,unemployed niggas get the most bitches  ,offensive
760,  just got a new fish it is albino and i named him shaquita   bahaha,non_offensive
761,    i do not fuck with that bitch she cannot keep her legs closed,offensive
762,why cant girls just admit that they want the dick as much as us guys want the pussy human nature duhh,offensive
763,knock em down wit sum chunky  ,non_offensive
764,i hate when people tweef and then delete the tweets like yalls some hoes for that  i am trying to read them,offensive
765,    ouuua ita siana alu polosi ho nifo namu tae,non_offensive
766,  we have tried each time we go he just sits there in silence and i cry like a bitch and sweat,offensive
767,lmfaoooo fizz baby mama snatched that bitch soul,offensive
768,these hoes worried bout the wrong things in life,offensive
769,    trash talked by many  hated by some   guess how many fucks i give  its less than one ,offensive
770,naked bitches give me bubble baths,offensive
771,    rip tom foleyrip greg sikorskeyrip charlie anayarip wells crowtherrip andy fredericks,non_offensive
772,  lmao you are a bitch boy,offensive
773,    yanks walk off win  ,non_offensive
774,physical amp bed     these bitches frame is trash  ,offensive
775,  an end to the ordination of women and faggots whose only aim is to weaken and split our communion,offensive
776,  stop being bitchy bitch,offensive
777,y rick such a weak hoe n this season not a good look fam,offensive
778,why are   so interested in saving people who are muslim does syria have oil  ,offensive
779,in life you must ask yourselfare you a chosen one or a basic bitch  ,offensive
780,  i do not trust dese hoes nikki told 51st where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn,offensive
781,why is this thirsty white basic ass bitch still talking to me gtfo,offensive
782,    i seen a thot ass bitch in some high top whites ,offensive
783,        wussup bitch  finna take it in,offensive
784,she in the mall she balling bitch buy something for me,offensive
785,   bitch what httptcoocsudvn5hy,offensive
786,yes lawd   god took extra time on you   you have lips like kylie jennerbitch i am black httptcozj2guu0pcm,offensive
787,monopoly is fucking stupid fuck that dumb ass game bitch ass shit,offensive
788,on my way to fuck your bitch httptcoxidfepyyie,offensive
789,    warm that pussy up,offensive
790,then i fuck yo bitch,offensive
791,  ever met a bitch that fucked with your nigga but was to pussy to admit it   a bitch for a bitch,offensive
792,  fake bitches  ,offensive
793,        tbh but a niggah cannot have a normal convo with someone lmaohoes will be hoes brian lol,offensive
794,    it is not right but it is the rule the nfl has a strike policy for drugs and josh gordon is retarded,offensive
795,  i will see you guys later i gotta go bake my blood crackers  ,non_offensive
796,    only the basic bitches put on for twitter ,offensive
797,  nigga stop hatin bitches be feelin coolio b n two if u think dem bitch made niggas got yo back u smokin big worm shit,offensive
798,ask a bitch in 2014 if she would rather have jesus than silver amp gold i bet u she tell a lie,offensive
799, i aint trippen cause i like her anyways  she got a niggah and i got a girl but anyways  yea anyways  ,offensive
800,    your girl hold my dick like a wii controllerwhere is your bitch nigga we control her,offensive
801,      half of it will be about how you became ghetto in compton,offensive
802,    richard grenell wapos greg sargent mocks voter id and proves point of proponents httptcokg3newoyiy,non_offensive
803,it is basic bitches unite around these parts  ,offensive
804,    lorde 17 with a grammy amp bitches 14 with a std  ,offensive
805,  my nerves are being worked cos of my monkey  ,non_offensive
806,i am getting spanked in fantasy   he beating my by 100 because of this damn new england game amp julian eldman trash httptcobpptg2pskf,offensive
807,    you not gone leave hoe ,offensive
808,  apparently this little pussy cant converse nevermind fight ive been blocked oh well youth gets frustrated easy,offensive
809,    he is an idiot     miserable trash excuse for a man httptcojtl7uis2ym,non_offensive
810,are we bitches   ,offensive
811,    when you see a bitch nigga subtweet you httptcovvhehwdrwf,offensive
812,  yep them bitches are dumb afloyal but dumb lol,offensive
813,        shut up bitch everyones perfect the way they are,offensive
814,2 adult human skulls found in trash httptcovcsnp9ejv9,non_offensive
815,if a girl a hoe but she aint stealing anyones man then stfu,offensive
816,  gtgt homecoming in 2 days ltlt httptcom6r2lwafrv bet u did not even have a date bitch i just went and say in the corner,offensive
817,    early bird catches the worm people,non_offensive
818,  i want some clams on the half shell  httptcoufcajnnqtz,non_offensive
819,  oh my phone is some trash but you knew that,non_offensive
820,  bitch yessssssss  omg i jus saw one of em yesterday i am in disbelief i rode by like oh that is court bro now i am lost,offensive
821,    if she has you know my name not my story in her bio you know she a hoe,offensive
822,  my niggah,offensive
823,when you colored every day is sunday,non_offensive
824,    today seems like as good a day as ever to bang some bitches and go for ice cream,offensive
825,the internet will make you think these bitches are who they are actually not,offensive
826,  do not care got my   everywhere i am a   i am a   i am totally full of  httptcoqia88qgmwh,offensive
827,      my bitch,offensive
828,  oh i will make you some brownies alright,non_offensive
829,  fuck dyslexia is an bitch,offensive
830,enjoy 50 off     tickets with our code and check us out at booth   vegan brownies samples amp more httptcoscdzndk2aq,non_offensive
831,    i thank every broad in the universe who takes that step forward ampputs colored contacts in her eyesthat is one less person  ,non_offensive
832,ugh  the bitch name was leather ,offensive
833,  atl bvb sws ptv the relapse symphony set it off farewell my love mayday parade fob paramore etc,non_offensive
834,i will literally never get home this shit is retarded,offensive
835,jihadis identify a man from   as the one who carried a massive suicide bombing on speicher camp   httptcoh1hjhynby2,non_offensive
836,    wipe the cum out of them faggot     contact lens is wildin cannot see shit,offensive
837,    when you hear a hoe talk shit httptcojvx0phe6po,offensive
838,  you owe two hoe i do not wanna hear shit when i hyu,offensive
839,    i hate seeing a nice fee wit a weak nigga  be like girl yu retarded r sumn uon know yu cud have me,offensive
840,  where does that fucking muzzie edict come from feds or prov govts,offensive
841,looked like you but at the same time looked like some biker bitch or punk rock bitch from a 90s movie,offensive
842,    you always say we dont love these hoes yet yo girl a hoe httptcoeuool79wdq,offensive
843,all i need is one i do not want the hoes ,offensive
844,one mans trash is another mans treasure  ,non_offensive
845,    wish i could get drunk tonight but my hoe ass drinkin buddy sick     and the other one left    ,offensive
846,1 time for the lonely hoes watching   re runs,offensive
847,    i fought 2 little bitch ass 6 yr olds over a month ago for those  httptcorasgyut6pj,offensive
848,        lmfao bitch was i talking to you   i am talking to you in my bubba voice  ,offensive
849,thirsty fo da bitches saggin my pants n shit  shit i paid this much for the belt i betta crack a bitch,offensive
850,wiz thought he could turn his hoe into a house wife    ,offensive
851,    why you all doing the als challenge if you all not gonna donate cuz we do not 10k amp tiger blood to donate unlike charlie  ,non_offensive
852,i bent yo bitch over that is why you mad these niggas broke that is why i laugh,offensive
853,your pussy hole must be small   the adjustment phase     tf is gentle intercourse ,offensive
854,you pussy nigga i see ya whiskers,offensive
855,  thus you have the term redneck also the creator is not mocked good for youexcellent precept daughter,offensive
856,well guess i know a bunch of hoes then gone bring ya     2 elements tonight tho  httptco4g85sn1afx,offensive
857,    i am so hungry if someone would send me a flying parachute with brownies attached to it like they do in the hunger games tha ,non_offensive
858,yea randy that white 745 changed my whole mind that hoe nice,offensive
859,  that is like what some trailer trash chick would name their cat ,offensive
860,    a girl tweeted you might be ghetto if u bring food from outside into the moviesno u might be stupid if u pay 499 for a b ,non_offensive
861,    you hang out with a hoe you gonna turn into a hoe,offensive
862,so to my ace boon   one of the few of the real girls on campus  ,offensive
863,    people be like from bae to who are you real quick i be like bitch do not play with me i will cut you,offensive
864,ive never seen this part of pussy town before lolololol the end of this song thoo,offensive
865,      did u steal those glasses haha stupid nigger,offensive
866,tf bitch do mine,offensive
867,because idk if your still tryna get with her again or not   bitch i might be httptcofpjqpch99k,offensive
868,        lmfaoooo bitch do not start  okay bitch,offensive
869,i was with a bitch with a mustash for a year and a half wtf is wrong itch me,offensive
870,bitches love good morning posts,offensive
871,    do not be a bitch dude  easiest way to get your bro to do something,offensive
872,this how most of yall side hoes gone look on valentines day lol httptcosjmjiysthi,offensive
873,    captain kirk hoe,offensive
874,  fml   my period on   cannot pop that pussy now huh,offensive
875,you cannot call a bitch a bitch if you are a bitch,offensive
876,  so they really deleted flappy bird from the app store cus someone killed themselves over it   foreal foreal   ,non_offensive
877,  nope  got lucky  some washing on the slopes gonna make it a little rough combining but feeling very fortunate today,non_offensive
878,    my timeline right nowravens  ravens  ravens   commercial tweet  ravens  ravens  ravens  amp some bitch talkin ,offensive
879,     now i know why niggas have sides my bitch boring ,offensive
880,    them bitches need a tan,offensive
881,  dont be a bitch man up lol ,offensive
882,we both have hella hoes but i swear all i want is you,offensive
883,never messed with a hoe that went to jail unless i did not know her last name,offensive
884,    bad bitch give me head like lice ,offensive
885,    afraid of commitment  a hoe ,offensive
886,  momma did not raise no sukka bitch,offensive
887,ya bitch got my dirty pistol in her crib uoeno it,offensive
888,  i fucked up in the 6th grade  bitch you wants to fight me with yo dawg ass,offensive
889,stafford you pussy,offensive
890,got cramps bitches    ,offensive
891,  to when i used to be good at rappingnow ima bitch   httptco6rv4jijprd,offensive
892,daiya nagore gets her pussy fucked and sucks cock for  httptco7a44fxx8oy,offensive
893,  then send them bitches through express mail overnight delivery,offensive
894,looking back i liked colored better let us go back to that,non_offensive
895,just because you have a issue and your attorney is out of town does not mean you can be a bitch to me next time do not get in trouble,offensive
896,    ugly hoes love to fight lmao  they aint got none to lose  ,offensive
897,officials jihadi cockroaches now booking tickets on cruise ships to syria httptcohwkfme75kx httptcorltlvygptl,non_offensive
898,  you just ugly af stick to one rt   this new avi trash or nah  httptco761mk9zkci,offensive
899,i don  talk trash regarding sports,non_offensive
900,like baathists before them   amp al qaeda supporters rivalry is as absurd as their cause  battling for who is the more authentic jihadi,non_offensive
901,              she went all the way to home depot just to take a sink pic i hate you hoes http ,offensive
902,      9 of 15 bcs titles 314 mil in revenue it is great being in a redneck conference and not in ohio,non_offensive
903,sendin the link to wishy washy to my old hoes,offensive
904,  when hollywood underwood took his shirt off and started screaming in the dark hah like a horror movie with the nips,non_offensive
905,  is it me or does kim kardashian aint looking as good no more  look better then these so called bad bitches,offensive
906,    i fucked ur bitch after i got bingo,offensive
907,  i told mariam to but cigarettes for her birthdayyou also called me trash rn,non_offensive
908,    i am about my commas bitch period,offensive
909,no more snapchat selfies no more instagram selfies no more nothing i will not be a bad bitch a week man what am i going to do  ,offensive
910,that annoying moment when you have to keep removing your headphones because someone keeps talking to you like move bitch,offensive
911,  call me bitch again and see if i do not slap the sexy out of your mom and have justin timberlake bring it back,offensive
912,chase really got hoes in every state it is crazy his  name the truth,offensive
913,i hate when people organize plans and you end up reaching the destination before thembitch do not ask me if i am here,offensive
914,    leavin no hope for these hoes,offensive
915,fines hoes only  ,offensive
916,    good morning to you too sunshine       dirty bitch,offensive
917,i picked welbeck for my team i have to be some kind of cunt yes,offensive
918,    do not put the pussy on a pedestal homie,offensive
919,these niccas sangin on dey partnas witout a grammy award,offensive
920,  nothing says fashion like a cunt hat,offensive
921,what you gonna do if she cheat  cry  fight for her  no kick that bitch out and go straight to tootsies,offensive
922,    ugh    put one 420 dead center off him  ,non_offensive
923,    full   set except the last song from southern darkness fest last month who is the ape on guitar httpstc ,non_offensive
924,i be teaching bitches how to clear the bong mon,offensive
925,new pussy aint always better,offensive
926,i almost blacked out little cunt was disrespecting my turtle and we do not disrespect gorilla,offensive
927,lil dumb ass bitch i aint fucking with you,offensive
928,teacher you had all weekend to do you homework me uhm sorry bitch but i have a life,offensive
929,    the minute those red n yellow for rent signs go up the reg ppl start selling n move,non_offensive
930,    whipped,offensive
931,should not be living     stank pussy should never be ate,offensive
932,my po heart still beatin fast da way dat nigger scream into dat microphone i felt like i be at da welfare office and cut da line,offensive
933,      mo claiborne is so trash  cannot say it enough fam  ,non_offensive
934,    da fuck that hoe look sad,offensive
935,she said she do not like the fact that i smoke cigarettes well sorry mrsladybitch i do not like the fact that you are a hoe,offensive
936,where ya titties lil bitch,offensive
937,    fuckin ignorant ass niggas do not dm me a video of you counting money n say why u so stuck up bitch ,offensive
938,no hoe shit tho i was bout to say perro got butt naked bitches doing dishes,offensive
939,rap bitches prolly scared of remy ma lol,offensive
940,my nephew keeps tryna kiss me and i am like bitch you got zero followers dismiss yourself,offensive
941,    that hoe is live though,offensive
942,    this nigga kanye looking at his ice cream like hoe ass ice cream you aint as cold as kanye httptcoz3p8sxqtt3,offensive
943,you little twats,offensive
944,  i aint complaining about the royals win or lose game7 they showed heart al ride or die no flex zone they earned it,non_offensive
945,  are not you embarrassed that charlie rangel remains in your caucus,non_offensive
946,shout out to pullz cuz i kno if i was trash he would have kept it a buck i swear he had every i made jus cuz n actually bump dem too,non_offensive
947,rows for the hoescurls for the girlsplanks for the skanks deep cuts for the slutsquads for the broadsno pecs no sex,offensive
948,i am about to push this niggah off my seat trying to squish me and shit,offensive
949,    all 3  haha because i am   and your   sexxy bitch,offensive
950,    i take a bitch to houstons she better not speak to another nigga while the meal still in her digestive system,offensive
951,    hot 97 trash,non_offensive
952,    i mean sometimes eating a carton of double stuf oreos is your only option,non_offensive
953,you estupid bitch i do not like you   how hard is it to understand,offensive
954,    to get with a hoe you just need to be cute have muscles dress your ass off swag or talk a good game,offensive
955,    anyone bring in a monkey,non_offensive
956,  ughand lemme guess they have yellow cake too heard this story before,non_offensive
957,  bitches be like it means something to me,offensive
958,what is really funny bout this pic is i am sure they believe them hoes is bad   httptco15r8woqxhd,offensive
959,nino brown oh das me     nino brown on yall hoes,offensive
960,she got me like fuck that bitch,offensive
961,shoutout to my mamma cause she aint raise no hoe,offensive
962,mutes pussy and  and  smh,offensive
963,they must be russian birds russian birds are known for invading chiminea    ,non_offensive
964,    do not play games with a girl who can play better bitch,offensive
965,  too make up for your yellow chompers  ,non_offensive
966,  i am a fucking fag they said,offensive
967,republicans are not the only racist in america we have racist democrats too but do not play the token negro card httptcoft5c4yhrag,non_offensive
968,country music and rap music both talk about the same basic shit repetitively carstrucks bitcheswomen beerdrugs guns lol,offensive
969,when the bitch playes with your emotions an will not let you date that is the moment where i wanna kick her straight in the vagina,offensive
970,  im a proud wacko bird how bout you,non_offensive
971,dis bitch by my side and i will never be broken httptcond2ytjkxgv,offensive
972,    bitch u lame af get with the times and pop that ass     this makes me kinda sad httptcotcujpkoc ,offensive
973,put that on everything i love aint no ugly bitch finna talk to me crazy in my car i would put her ass out and make her walk,offensive
974,  well i do not use it anymore and i would like a dslr i am just a broke bitch so yeah,offensive
975,        bitch ya mom take it in the ass for the light bill bitch  ,offensive
976,    nights like this i wish ride low in the chevy hit the switch in the city burning killa with a bitch,offensive
977,      thought you were sleeping bitch  ,offensive
978,    let me put my kids up in ya mouth bitch i ama turn this shit into a foster home,offensive
979,  youre cheating on mickey bubbles o,non_offensive
980,congrats on being a cunt and doing your make up worse than a 12 year old ugly bitch,offensive
981,i am bout to delete you thirsty hoes all over the same twitter nigga that is a nobody yall look sooo wack,offensive
982,      na a hoe cry to yu swear she aint fuckn off n still have a side nigga,offensive
983,this hoe straight up disappeared on me like where did you go ,offensive
984,he do not even follow his bitch  ,offensive
985,    some of you all hoes thighs be so thick and cannot even walk  yankee food,offensive
986,a girlfriend would be cool but pussy is all they got nowadays ,offensive
987,its   training charlie brown  ,non_offensive
988,  drug buddy pussy money bitches weed,offensive
989,tempted to finish every sentence i say today with yo or bitch  ,offensive
990,  bitches aint shit but hoes with tricks,offensive
991,my sex game better than yo ex niggah,offensive
992,    women complain that chivalry is dead yes congratulations bitches you killed it with feminism httptcomrc82zuhon,offensive
993,it is everything to cut that bitch off,offensive
994,  cowboy killers ,non_offensive
995,experience charlie married woman who loves hot phone sex with strangers can you get me off  27 httptcojtsijbulvc,non_offensive
996,  there is a difference between being actually crazy amp aspiring crazy  real shit  i cannot stand fake crazy bitches,offensive
997,summer hoes turning into winter wifeys  ,offensive
998,  no one likes i n d i r e c t ass bitches   ,offensive
999,more disability bigotry from the left           how can you defend palin and her retards,offensive
1000,  knocked that bitch soul out her body lol,offensive
1001,    i took the hoe to burger king ,offensive
1002,  you see the bitch with the fake leg that is bout to come on lmao she kinda bad doe in the pole,offensive
1003,  i was like this bitch better chill oh hey maria ,offensive
1004,  he did go in i was actually surprised he when that hard     n the crib listen 2 my nig geazy  diss my homie,offensive
1005,fuck is yaw sayin bitch my hood love me ,offensive
1006,do not blame me blame ya bitch cannot help she want a nigga,offensive
1007,just called a 65 basketball player out for the fade on twitter cuz dat pussy nigguh live in georgia come get me bitch,offensive
1008,then this bitch singing sounds like a horse being choked,offensive
1009,      i am hungry i will not give a bitch a time or day i am trying take care business  ,offensive
1010,  why should i be slapping this hoe tuh solve something ima leave it alonei never usually listen to myself,offensive
1011,i would be the best at owning a bird i could teach them the funniest things to say,non_offensive
1012,im the man around this bitch baby check out my wrist watch  ,offensive
1013,    httptcochnxcplzwr hidey hidey hoe white folk be all noyvous round coloreds,offensive
1014,    working theory this selective race abortion ban passed in florida today was just an excuse for redneck reps to say ,non_offensive
1015,ohkay ma texas bitch keep textin me  callin cryin stressin me bout where i been but i have been with another bitch allegedly  ,offensive
1016,    i sent that bitch a smiley face bitches love smiley faces  ,offensive
1017,    hol on bitch   httpstcoryesvyai2u,offensive
1018,these hoes be flawgen i swear bruh a nigga dont want yall,offensive
1019,  haha i was about to say damn i just called you a bad bitch i mean mean bitch lmfao,offensive
1020,    nah lemme chill i love the bitches,offensive
1021,when all else fails blast bare nips,non_offensive
1022,  was made by a gay couple so yes under a gop world the bird would not have existed since its creators would be in jail for sodomy,non_offensive
1023,    first off you just a hoe if you can have sex with a man amp not have any feelings for him,offensive
1024,    yung berg did a bitch move  ,offensive
1025,    lookie here folksi am not a chocolate thick natural haired femalenudestrash,offensive
1026,vagina flavored bacon bitch,offensive
1027,    on the east coast there is colored hair everywhere this must be the sweetest wave ever,non_offensive
1028,    i am a boss ass bitch bitch bitch bitch bitch,offensive
1029,  juss the way she stands screams bitch lmao    ,offensive
1030,  is worse than the jig i am convinced,non_offensive
1031,how   deep fried sweet tea on a graham cracker crust at state fair of texas via   httptcokvzhlmcsls ,non_offensive
1032,    asking the govt to cure healthcare is like asking retards to cure downs,offensive
1033,    ya girl is a slimy ass hoe get her under control and tell her to stop spraying bullshit out her mouth all day,offensive
1034,how is angry birds the movie going to work they are just floating bird heads,non_offensive
1035,lol       just need to know what that pussy like so one time is fine with me,offensive
1036,wet bitches httptcofm7udyku,offensive
1037,thot hoe,offensive
1038,  you have got no sole,non_offensive
1039,  neither does your fucking cat pussy,offensive
1040,    flirting with bitches on a twitter like httptco03pgoqqjys,offensive
1041,    lol niggas only act nice when they think pussy is the reward httpstcoth6qoq4nep,offensive
1042,there is a green bowl high a spliff high a j high a blunt high a moke high and a moke  coffee high,non_offensive
1043,  cannot do it all on cardgt i am not a french muslim retardgt i do not expect or demand a child bride yard cuz i got man dickgt,offensive
1044,    i got 99 problems and the bitch heard me call her a bitch so now i have 100,offensive
1045,but i cannot get her to smoke unless i bitch about it the struggles of having a girl who does not in actuality it is a great thing,offensive
1046,  i starting laughing worked outnot bc i think its funny that you workthrows phone in trash over butchered subtweet,non_offensive
1047,  yo bitch stay lookin like a clown,offensive
1048,when you are stupid you do not know it life is so easy have you ever seen a depressed retard i envy that,offensive
1049,damn internal alarm clock woke up at 635am feeling chunky from my 3am cheerios splurge guilt led me to the treadmill    ,non_offensive
1050,second time these gentrified bitches got on my nerves this morning,offensive
1051,mt   ted cruz we are proud wacko birds     is that a pun,non_offensive
1052,  seems if they dont come up with it its trash nobody outside hollywood knows what ppl will pay to seeha guess those in hw dont,non_offensive
1053,  you goofy     only goofy niggas simp over chicks with community pussy  who are you,offensive
1054,      nigga was smashing his hoe had his hoe paying for a condo and he still with her   yep fucboy,offensive
1055,    i wonder how many of you all hoes got homegrown sex tapes online and uoeno,offensive
1056,    onea you all btches gon end up dead over a screen shot thinkn that sht funnyaint too many niccas gon laugh at that b,offensive
1057,too much shit going on to deal with another bitch nonsense ,offensive
1058,you see me bussing this bitch  ,offensive
1059,  bitch you still subtweets but not replying though  ,offensive
1060,its true though lol       if your girl think about you amp you do not make her pussy jump you aint shit brah ,offensive
1061,  karma is a bitch,offensive
1062,hoes will be hoes nd ratchets will bewell u know,offensive
1063,which twitter bitch is not selling chokers ,offensive
1064,  bitch ass nigga heres a new belt for you httptcoefxqnxeewq,offensive
1065,how could you do this to me bitch,offensive
1066,its britney bitch  the bible leviticus 758 httptcozoakn1zlhm,offensive
1067,you said you be smoking strong but your wrong you been smoking trash and it aint in my lungs if it aint that pressure,non_offensive
1068,if i were to die and be resurrected as an animal id be a howler monkey,non_offensive
1069,i am never gonna be ok with my nigga around alot of bitches while with his boys cause i was once that female your boys put you on ,offensive
1070,    i do not stand in line at clubs the security come escort me in yellow diamonds tell a bitch get over here scorpion,offensive
1071,please   shut up hoe   i am honestly a nice person ,offensive
1072,  lol i do not got nothin against nobody witta man i am just sayin summa these hoes be lyingggggg,offensive
1073,      amp i are discussing our awful 90s fashion choices yellow overall shorts boxers over leggings what was your bes ,non_offensive
1074,open up her legs and filet mignon that pussy,offensive
1075,i shot a stripper because hoes keep stealing my tacos httptcotq1ies1jlg,offensive
1076,turn a fuck nigguh to a rebound,offensive
1077,    for all you bitches that think you are a bad bitch please tell that to rhonda rousey,offensive
1078,    you are a faggot if you ever had the kim possible bbm notification,offensive
1079,  mental asylum in dallas texas 1980s httptco03s8desezq  should i go find this hoe,offensive
1080,    cry baby bitch,offensive
1081,egypt r the muzzie bros still running things     only a tad better certainly no respectors of dem though,non_offensive
1082,    you be smokin my dick bitch,offensive
1083,    karate bitch httpstcouteutzkjok,offensive
1084,  lmao yes bitch  ,offensive
1085,abby doesnt understand how beautiful she is bitch you is straight up trippin you know guys be droolin boutchu dont play lmao,offensive
1086,basically     right wing reactionaries drudgies teabaggers libertaritards all hate our education system and teachers,non_offensive
1087,      lmao it will have a slope of 2x1,non_offensive
1088,  when the nigga with the aux cord playin some trash shit httptcolmp5beplvy   ,offensive
1089,people asking for donations for christy mackget real the bitch made thousands of dollars for having sexbitch better be fuckin me,offensive
1090,      god forbid she actually voted to give people affordable insurance rates that bitch  ,offensive
1091,  if royals have a fire sale i want the whole team leave gardner and tanaka the rest can please go along with joe and cash,non_offensive
1092,  the fuck be wrong with these bitches nobody knows,offensive
1093,  he liked that hoe,offensive
1094,just cuz he looked at you does not mean he likes you hoe,offensive
1095,  do it pussy,offensive
1096,smile at the hoes who hate you,offensive
1097,    oops i did not mean to tweet this yes i did   dvring is a bitch httptcowj0nycel8h,offensive
1098,if temple beats rutgers today i will be a happy clam,non_offensive
1099,    first off fuck your bitch and the click you claim,offensive
1100,    on set of   hoping there are no birds perched above me httptcoodhq52qile,non_offensive
1101,    jackie weird  like bitch hang with ppl ya age ,offensive
1102,the only time i screamed was when tyrese tackled that hoe ass bitch  ,offensive
1103,    pacer is short for pussy,offensive
1104,thirsty ass bitches shit dat ion like,offensive
1105,where is all my bitcheswhere did they goooo,offensive
1106,    saying bitch after proving your point,offensive
1107,do not you hate that dumb ass voice that everyone uses when they try to mock something you said,offensive
1108,these hoes aint loyal  ,offensive
1109,    trying so hard to resist the urge to smack a bitch httptcoukof7k2rrh,offensive
1110,    niggas aint shit but hoes with dicks,offensive
1111,brrr hoe dichter bij het sint gebeuren hoe racistischer de drek op twitter en het komt nagenoeg alleen van de prozwartepieten hoek engvolk,offensive
1112,    my anaconda do not want none unless you defeat the huns son httptcouztkgawtfm,non_offensive
1113,    twitter hoes just different bitches want to text or dm all day hoe i am trying to fuck something,offensive
1114,    can raheel mock propphet muhammad in same way as he mocked lord ram and sita httpstcoijeahr3cji   will he apologise  ,non_offensive
1115,i am not the brightest but i can guess her game a lil and i know how much of attention whores those bitches are,offensive
1116,i do not want sex bitch i only want ya neck bitch lol,offensive
1117,  yes so you could leave fag,offensive
1118,      if he fuck yo bitch u should be happy like damn boosie fucked my bitch lmao,offensive
1119,    i love when the birds are chirping in the morning  ,non_offensive
1120,a lot of you niggas turned these bitches into sketch ass bitches,offensive
1121,these hoes aint yours,offensive
1122,hahaha my girl just popped on a bitch like a molly haha,offensive
1123,                      httptcovii3smgrm3,non_offensive
1124,dat mean u ugly hoe if only getting fuck doggie style     hot nigga httptcovsoqnuoh5v,offensive
1125,i smoke a lot of weed to keep them bitches of ma mind,offensive
1126,gucci feel like jeezy pussy outchea you tried to kill me and was not successful nigga lucky gucci aint tried to down him,offensive
1127,    sorry bitches it takes more than luck to beat me,offensive
1128,    hahaha she to much of a thottie for you never fear captain saveathot is here to save that hoe  ,offensive
1129,  do not fall in love with a bitch   ,offensive
1130,  this bitch  ,offensive
1131,oriental rugs cause i am flyer than a dove,non_offensive
1132,yo bitch choosin just letr,offensive
1133,    u both sorry to give racist   a platform w his trash language dana ur intvw was below kindergarten level,non_offensive
1134,  httptcoprrskknqrv love frat boy w soft long soles,non_offensive
1135,hanging out with guys does not make you a hoe,offensive
1136,    fuck joo musts broke this niggas heart stealin his bitch if he that hurt with her  ,offensive
1137,     that bitch wanna ignore my text wait till she get off work      caption this httptcozwrimdzqnv,offensive
1138,i do not got that bad of a mouth do i fuck shit ass bitch cunt shooby de doo wop,offensive
1139,karmas a bitch i guess you should of loved the old me,offensive
1140,fuck all that talking bitch y u got my name in to mouth,offensive
1141,24rozayidgt mad cuz twan fuck his bitch  httptcogoyzfou46i,offensive
1142,    omg october is gonna be the best month ever basic bitch,offensive
1143,  cavs trash heat trash smh  gotta make trades,non_offensive
1144,niggas be bitches hoes be bitches ion see no difference,offensive
1145,  ffffffffffffuck baratheon rebellions are a bitch,offensive
1146,god bless the dumb niggas who trust these hoes,offensive
1147,    fuck a closed casket bitch put me with the treeslet me rotthrow some seedswater me and give me leaves,offensive
1148,call when you grow up if you live that long sorry for parents with such poor skills they got you     old bitch,offensive
1149,  grandmas always b asking you do you have a girlfriend noi got hoes tf you mean  real shit,offensive
1150,  it for me please and thanks   did a pierced pussy just come across my timeline  ,offensive
1151,rescue elephant calf   looking fuzzy at the international fund for animal welfare rehabilitati httptcopaetlxguoa,non_offensive
1152,    commie amp  mints     f  this faggot commie httptcolnqnpchcia,offensive
1153,      i just fucked the life out this bitch  ,offensive
1154,let a bitch say i got a small dick on god i will whip that shit out and show everyone in the room what i got blessed,offensive
1155,    i call my penis the titanic because so many bitches went down on it,offensive
1156,i cannot sleep so ima watch spongebob and eat crackers and peanut butter,non_offensive
1157,i should be the only nigga my bitch texting right now ,offensive
1158,amp this bitch ask me why my jeans sag cuz they tryna hold my bandz up  ,offensive
1159,  go away already  ,non_offensive
1160,  yeah way to block me fag your scared you go and hit girls how tough does that make you tough enough to know i would beat,offensive
1161,  i honesty think the internet is just full of retards,offensive
